Character name,"Character race (human, orc, halfling, etc)","Character class (wizard, bard, cleric, etc)"
Rajcha the Bold,Gnome,Cavalier
Gnareth,Gnome,Ranger
Lana Garn,Gnome,Bard
Graceaga Shortankard,Gnome,Bard
Pups doggo,Gnome,Bard
Gord Underfoot,Gnome,Fighter
Ren Cloverdowns,Gnome,Fighter
Wrenn,Gnome,Rogue
Gnorgi Knellfellow,Gnome,Druid
Linn Merrick,gnome,wizard
Dimble Daergal,Gnome,Mystic
"""Old Breezer"" Alvyn",Gnome,Mystic
Stanford Brandbolt,Gnome,Bard
Smord Myron,Gnome,Rogue / Arbiter (Homebrew)
Moss,Gnome,Ranger
Amryyll,Gnome,Paladin
Bingo Einie Huffmaster Bertolt Jingo Spinnacre,Gnome,Wizard
Talikah,Gnome,Druid
Salz Smegma,goblin,rogue
Grotto,Goblin,Monk
Furgus Razorbeard,Goblin,Bard
L’n-Dah,Goblin,Rogue
Narvy,Goblin,Paladin
Pyt,Goblin,Bard
Snarg BeDarkBarf,Goblin,Wizard
Zime Murgan,Goblin,Cleric
Peaches,Goblin,Ranger
Pio,Goblin,Rogue
Rorrim,Goliath,Fighter
Ingentin,Goliath,Barbarian
Facebreaker,Goliath,Paladin-Fighter
Mahak Moonwatcher Ovolanku,Goliath,Barbarian
Urulo Coldwhisper Ogolakanu,Goliath,Cleric
Lyra Feldspar,Goliath,Cleric
Aglath Smartleader,Goliath,Fighter
Keothi Stormhammer Nalakigo,Goliath,Cleric
Uthall Unakalaki,Goliath,Fighter
Koivu,Goliath,Paladin
Koloi Stormcaller,goliath,paladin
Allora,Grey Elf,Warmage
Hazel Tealeaf,Hafling,Rogue
Lykitina,Half Cat folk/ Half Elf,Beastmaster
Izzthrae,Half drow,Bard
Grizzlethorn Bearbelly,"Half dwarf, half elf/orc (don't question it)",Fighter
Lupin Malory,Half Elf,Fighter
Thelxiphia,half elf,rogue
Foster,Half elf,Rogue
Elsetra,Half elf,Fighter
Elolin Elohel,Half Elf,Rogue
Corros,Half Elf,Fighter
Edith Button,Half elf,Ranger
Felix Acosta,Half elf,Bard
Bas,Half elf,Enchanter 
Aramil,half elf,ranger
Xara Angelfire,Half elf,Sorcerer
Veda Bombsandjuice,Half elf,Alchemist 
Offdir Branespout,Half Elf,Monk
Naeris,Half Elf,Wizard
Al'Derek Thornstrike,half elf,Ranger
Sovan Dareshin,half elf,bard
Sydna Dwynmoor,Half Elf,Warlock
Sascha Treeburn,Half Elf,Fighter/sorceror
Brinyold Seraphina von Fevr'ton III,Half Elf,Fighter (Gunslinger)
Hammer Lulach,Half Orc,Cleric
Ruke,Half Orc,Barbarian
Olgar the Gourmand,Half Orc,Warlock
Rhollo Tusklord ,Half orc,Fighter
Onsul Irontongue ,Half Orc,Wizard
Gharsh Krimpburzum,Half Orc ,Paladin 
Derek Tyr Almaith,Half-Dragon Half-elf,Sorcerer
Alunira Nenlaer,Half-drow,Bard
Bazil,Half-Dwarf / Half-Ogre,Brawler
Zarys,Half-Elf,Cleric
Potato Salad ,half-elf,cleric
Leolir,Half-Elf,Bard
Zarith Marsk,Half-elf,Lore Bard
Ruby Saphiria,half-elf,rogue
Cedric Skullcrushee,Half-elf,Wizard/cleric dual class
Tzu-Thalomon Vale,Half-elf,Bard
Lugh Anarian,half-elf,paladin
Roger,Half-elf,Cleric
Tharavol Galanodel,Half-elf,Wizard (Diviner)
Zan Cobriana,half-elf,bard rogue multiclass
Adrien des Troyes,half-elf,paladin
"Salome (""Sally"") bat Faisal",half-elf,cleric
Jacob,Half-elf,Battlemind
"Nils Alejandro ""Aldus the Weasel"" Dussail",half-elf,wizard
Rannok,Half-Elf,Warlock
Sister Knickers,Half-Elf,rogue/cleric
Lisette,Half-elf,Summoner
Varis,Half-Elf,Bard
Yennica Amaldarine Aliana von Hoq,half-elf,cleric
Vylora Admaris,Half-elf,Cleric
Ivellios Domine,Half-elf,Monk
Danoleth,Half-Elf,Paladin
Garruk Selesnya,Half-Elf,Druid
Rozhenya,Half-elf,Bard
The Eel,half-elf,rogue
Erika Greenstone,Half-elf,Warlock
Shushken,Half-elf,Wizard
Ophelia Ren,Half-elf,Wizard
Ophelia Ren,Half-elf,Wizard
Jamenas,Half-elf,Druid/paladin multiclass
Allister,Half-Elf,Sorcerer
Jon daWarlock,Half-Elf,Warlock
Conrad,Half-Elf,Ranger
Torvald,Half-elf,Sorcerer
Apollo Ramistad,Half-elf,Rogue
Kirian Ylestos,Half-Elf,Rogue
Maeve'aria,Half-Elf,Warlock
Theren Jassan,Half-Elf,Fighter
Kallan Fen,Half-Elf,Druid
W.T. Sherman,Half-Elf,Sorcerer
John Doe,Half-elf,Sorcerer
Arthur,Half-Elf,Druid
Kallus Merulan,Half-elf,Warlock
Ulric Wolfman,Half-Elf,Sorcerer / Warlock
Bree Ravena,Half-elf,Wizard/rogue
"Jimothy ""Jimmy"" Gershwin-Fisher",Half-elf,Wizard/rogue
Prince Quinoa IV of New Ark,Half-Elf,Cleric
Bellamy Vandeskorn,Half-Elf,Bard
Finarieth Vrue,Half-elf,Sorcerer
Finexel Finnton,half-elf,monk
Rowan Varis,Half-elf,Cleric/druid
Tommy Toes,half-elf,rogue
Craros Nyoho,Half-Elf,Cleric
Varik Yhendhorn,Half-Elf,Warlock/Mystic
Francis Embercrumb,Half-Elf,Sorcerer
Ernest Mendax,Half-elf ,Bard
Nathrae Barriund,Half-elf (drow),Sorcerer/Rogue
Shrecc,Half-Orc,Fighter
Summer,Half-orc,Bard
Grummsh,Half-orc,Warrior
Maxine,Half-orc,Druid
Maxine of Bailey,Half-orc,Druid
Matthias Swallowtail,Half-orc,Ranger/Barbarian
Shrecc,Half-orc,fighter
Ripple Marrowgut,Half-orc,Barbarian
Kel Kektar,Half-Orc,Bard
Amul,Half-Orc,Paladin
MR. Denton,Half-orc,Fighter
Solomon,Half-Orc,Barbarian
Tevaga Thunderfoot,half-orc,rogue
Fiona,Half-Orc,Paladin
Kerem Aydin,half-orc,fighter
Ullobash Doomseeker,half-orc,Paladin
Tusk,half-orc,fighter
Crarch Bombo ,Half-orc,Wizard
Kaldrigon,Half-Orc,Rogue
Mrom,Half-Orc,Cleric
Arn Breaker,Half-orc,Ranger
Brocklesnar,Half-orc,Monk
Krug,Half-orc,sorcerer
Gra-Donk,Half-Orc,Cleric
Bork,Half-Orc,Bard
Rhea,Half-orc,Cleric
Rivinka Dierik,Half-orc,Sorcerer
Tiakbois,Half-Orc,Barbarian/Alchemist
Gurak,Half-Orc,Barbarian
"Grosk ""Cookie""",Half-orc,Witch (Sea witch archetype)
"""Soupy"" Güdfre",Half-Orc,Wizard
Kazimir Voronin,half-orc,barbarian
Pogranax,Half-Orc,Fighter
Gallus,Half-Orc,Ranger
Threk the Shunned,"Half-Orc, Half-Human",Barbarian
Ishayle,Half-Ord,Barbarian
Ti'asak Cloaksword,"Half-wyvern, Half-kobold (Wyvaran)",Time Thief
Trystan Ravenscar,halfelf,druid
Short Norman,Halfling,Fighter
Panry Marmidas,Halfling,Rogue
Johno,Halfling,Fighter
Conrad Rumshot,Halfling,Rogue
Lord Fendrick Windhollow VIII,Halfling,Fighter
Shift,Halfling,Thief
Wilbur Wolfbrother,Halfling,Sorceror
Perrin,Halfling,Rogue
Dewin ,Halfling,Sorcerer Bard
Joe Pageturner,Halfling,Paladin
Drae,Halfling,Rogue/Bard
Patrel ,Halfling,rogue/sorcerer
Tobi Secondson,Halfling,Fighter
Trynleigh,Halfling,Rogue
Zo Regata,Halfling,Rogue
Happy Horseshoes,Halfling,Monk
Lalia D'escarpe,Halfling,Rogue
Calcol,Halfling,Fighter
Mad Daisy,halfling,barbarian
Brio Dando,Halfling,Warlock
Tavis,Halfling,Rogue
Callie Tealeaf,Halfling,Cleric
Finley Goodwil,Halfling,Wizard
Fancy Pants,Halfling,bard
Chai Thistlefoot,Halfling,Sorcerer
Rooster,Halfling,Sorcerer
Shaena Underbough,Halfling,Monk
Perrin Thornwall,Halfling,Rogue Sorceror
Seneon,Halfling,Rogue
Jeeha the Tiller,Halfling,Warlock
Gardenia Bayport,halfling,life cleric
Bessir Keepstair,Halfling,Wizard
Gwynnifer Glimfinger,Halfling,Bard
Gaia Troff,Halfling,Bard/Ranger
Cora Talespinner,Halfling,Rogue
Algher Chan del Corbo,Halfling,Bard
Garim Gamwort,halfling,rogue
Gwynn Bitterleaf,Halfling,Ranger
Varris Shortcloak,halfling,rogue
Ngangkari High-hill,Halfling,Paladin
Micah Starbloom,Halfling,Bard
Neeto Silverspeak,Halfling,Bard
Cayenne Killsure,Halfling,Rogue
Tia ,Halfling ,Rogue 
Benkei,Helf-Orc,Monk/Cleric
Nehl Brisby,Hengeyokai (Rat),Vampire
Louis de Breteuil,High Elf,Fighter
Cohnal Rinn,High Elf,Wizard
Syra,High Elf,Cleric
Aeren the wanderer,High Elf,Rogue (arcane trickster) 
Aranel,High Elf,Bladesinger
Oona,High Elf,"Monk, Way of the Four Elements"
Araniel Serinade,High elf,sorcerer 
Morwen Liadon,High Elf (moon elf),Rogue 
Enleth Antari,High Moon Elf,Wizard
Volston OathForge,Hill Dwarf,Transmutation Wizard10/Paladin2
Màiri Blue-Quartz,Hill Dwarf,Wild Magic Sorcerer
Anakis Tycretaur,Hobgoblin,Sorcerer 
Crog,Homebrew Elf,Fighter
Aurelia,Humam,Rogue
Pitung,Human,Rogue
Karnak,Human,Cleric
Caviar Bonswa,Human,Fighter
Henry Lodestone,Human,Cleric
elick emberharth,human,sorcerer
Virginia,Human,Rogue 
Oscar Cavalier,Human,Cleric
sulmon darkfell,human,wizard
Aurelius,Human,Warlock
Rougsan Halfmoon,Human,Cleric
Leo Waterfall,Human,Fighter
Jada Keres,Human,Ranger
Samuel Greenvine,Human,Magus
Samuel Karanor,Human,Assasin
Emrys Stormcrow,Human,Wizard
Asren,Human,Wizard
Dax Hawkthorn,Human,Sorcerer
Cadel Brightleaf,Human,Bard
Tim,human,fighter
Killian Half-Heart,Human,Wizard
Tim,Human,Sorcerer
Chiffley,Human,Rogue
Crimson Brimstone,Human,Wizard
Emily,Human,Sorcerer
Alfred Lord Hudard,Human,Librarian
Chaaran,Human,Bard
Wren McFlurry,Human,Rogue
Winston Burr,Human,Necromancer
Martell,Human,Bard
Farthan Nologin,human,wizard
Tybalt of Dawnstar,Human,Monk
Soren,Human,Fighter
Garrick Garrickson,Human,Fighter
Eldar Stallhart,Human,Necromancer
Eskey Bellringer,Human,Wizard
Lee Mainge,Human,Fighter
Lily,Human,Sorcerer
Buddy Brutus,Human,Fighter
Kyvian,Human,Monk
Ramala,Human,Wizard
Reyna Calder,Human,Fighter
Anemos Asteri,Human,Swashbuckler
Otrivush Oto,Human,Wizard
Dolph ir'Aeolus,Human,Artificer
Capriole,Human,Warlock
Derivin Blackstorm,Human,Sorceror
Arno ,Human,Fighter (Eldritch Knight)
Martin Salvator,Human,Sorcerer
Dungrym,Human,Ranger
Iron John,Human,Ranger
Jericho,Human,Necromancer
Cardinal Sin,human,rogue
Nico,Human,Blood Hunter
Thean,Human,Ranger
Rhea,Human,Cleric
Clarence Darmer,Human,Assassin
Zaruun,Human,Sorcerer
Charles Dagamond ,Human,Sorcerer 
Rayenne,Human,Cleric
Thyra,Human,Fighter
Sanguineus,Human,Swordmage
"Edwin ""Eddy"" Mirald",Human,Rogue
Bolo Ness,human,Sorcerer
Tera Shenigwym,Human,Ranger
Leliel,Human,Blood Mage
Singham Kirthain,Human,Wizard
Wilhelm,Human,Cleric
Darmot Kromwell,Human,Fighter
Faradan,Human,Wizard
Fonix ,Human,Barbarian
Sister Sunflower,Human,Paladin
Harwin the Magnificent,Human,Wizard
The godpuncher,Human,Fighter
Robert,Human,Expert
Korvo Puffington ,Human,Fighter
Chen,Human,Oracle
Ilun,Human,Druid archer
Erin Samus,human,Warlock
Red Rowan,human,fighter
Heidi Seeder,Human,wizard
Cerigan Altisa,Human,Rogue
Jerico,Human,Bard
Leopold,Human,Fighter
Kingston Vance,Human,Warlord Defender
Knut Jansen,Human,Warrior
Flaming Helen,Human,Warmage
Irena Grayhold,Human,Fighter
Sterling Leith,Human,Warlock
Treylin Dracksbarr,Human,Fighter
Galyian Iciria,Human,Wizard
Alainna,Human,Rogue
Varos,Human,Fighter
Wilhelm Moorbeer,Human,Fighter
Maggie,human,fighter
Ilun Lubog,Human,Warlock
Vivica,human,warlock
Brune Norjondar,Human,Paliden
Reynolds,Human,Wizard
Rai,human,fighter/artificer
Jien Li,Human,Monk
Antje Gagnon,human,warlock
Bridget ,human,cleric
Edith Runekill,human,wizard
Justin of Aragorn,Human,Ranger
Kip Carol,Human,Druid
Hizaza,Human,Rogue
Arthur Lightfinger,Human,Necromancer
Ramson Foley,Human,Warlock
Saija,Human,Necromancer
Treylich,Human,Wizard
Edwin,Human,Wizard
Kettel Cauldr,Human,Townsperson (NPC)
Ikia,Human,Rogue
Milan,Human,Paladin
Suthra,Human,Paladin
Martin Cooper,human,wizard
Itellia,Human,Alchemist
Nomyn Dreth,Human,Rouge
Hagar Bombillion,Human,Warrior
Muzg Shon,Human,Rogue
Uric of the Red Sands,Human,Barbarian
Pumpkin,human,monk
Theresia,Human,Paladin
Akedia Megido,Human,Rogue
Jin,Human,Warlock
Jinkies,Human,fighter
Regan Hart,Human,Bard
Lihrah,human,sorcerer 
Basha,Human,Rogue (Arcane Trickster)
Li Shimada,Human,"Monk, Way of the open hand"
Sally,Human,Wizard
Tyvo Mortishawn,Human,Cleric
Nathaniel,human,wizard
Hope Foundling,Human,Sorcerer
Ramdao,Human,Monk
Seus Asellus Livianus,Human,Wizard
Blaise Camara,Human,Senegalese Naval Special Operations
Gadbee Tennor,Human,Bard
Vertok,Human,Warlock
Ashley Fronk,Human,Gunslinger
Breenie Fairly,Human,Rogue
Doomhilda the Driven,Human,Fighter
Darlington Rose,Human,Spellslinger
Shurban Talcut,Human,Druid/ wizard (shaman)
D'leez Comhour,Human,Fighter-thief
Cannick Candlecrown,Human,Rogue
Bel Orson,Human,Paladin
Sir House,Human,Wizard
Frank,Human,Barbrian Warlock
Houg Strag,Human,druid
Buridan,Human,Cleric
Yvette Mouton,Human,Wizard
Father Amadeus Argentaria,Human,Priest
Ferdinand Esterel,Human,Fighter
Yelena Ward,human,rogue
Mira Strongarm,Human,Fighter
Aysel Baines,Human,Rogue
Theresa,Human,Rogue
Dzimm,Human,Bard/Barbarian
Lisbeth Walpurgis,Human,Ranger
Sam,Human,Rogue Technologist
Eric,Human,Wizard
Adila,human,Bard
Klaetus Asphandler,Human,Paladin
"""Wild"" Mag Whitley",human,rogue
Arden Sul,Human,Sorcerer - favoured soul
Raymond Waveharp,Human,Druid
Lady Vilina,Human,Berserker
Julia Minor,Human,Wizard
Cassandra Chisholm,Human,Cleric
Sa'ar Goldor,Human,Cleric
Arcan,Human,"Wizard, Divination"
Skeimfrig,Human,Barbarian
Thewnar the Mighty,Human,Barbarian
Guillermo George Rodriguez Rodrigues,Human,Duellist
Rilana,Human,Blood Mage
Alina Elowyn,Human,Cleric
Benny Havarak,Human,Wizard
Ara Haik,human,barbarian
Emerich Gustave,Human,Rogue
Jorma Stormtyde,Human,Cleric
Kerri Coldwater,Human,Fighter
Shankar,Human,Rogue
Berger Minder,Human,Fighter
Danann Stormbranch,Human,Bard
Charani Maelstrovich,Human,Barbarian
Serenity,Human,Ranger
Xathis Severus,Human,Assassin
Lucius,Human,Wizard
Ronen,Human,Ranger
Ozvanna Cherlotte,Human,Rogue/ sorceress
Older Ander Ravenhorn,Human,Fighter
Rufus Brannhane,Human,Druid
Iris Sorrowkeep,Human,Cleric
Ander Shemov,human,paladin
Toren,Human,Warlock
Kayla,Human,Warlock
Moriarty,Human,Ranger
Keold Morgwend,human,cleric
Dren Burrows,Human,Monk
Cassius Drestin,Human,Fighter
Mirellia Wolfsbane,Human,Ranger
Tejain Armacre,Human,Wizard
Rarian Everfeth,Human,Paladin
Finn Scalesly,Human,Rogue
Lord Eduardo Vizzini,Human,Physician
Wheezer,Human,Artificer
Elspeth Dharvoon,Human,Rogue
Leyland,Human,Paladin/Warlock Gestalt
Jonah Belardo,Human,Cleric
Len,Human,Nano
Trar Dewstream,Human,Druid
Eris Nilodian,Human,Scout/Ranger/Dervish
Kano,Human,monk
Razalas,Human,Wizard
Evelynn,Human,Cleric
Onan Bakkal,Human,Warlock
Mathis Greywood,Human,Cleric
Merry Wrenwright,Human,Hexblade
Elise,Human,Cleric
Fellan,Human,Bard
Avain Wellen,Human,Fighter
Bella Marchand,Human,Fighter
C. Sativa,Human,Druid
Danell Razzberry,human,bard
Ander Brightwood,Human,Fighter
Avric Tholomyes,Human,Fighter
Shaelyn d'Lyrandar,Human,Sorceress
Bronze Fury,human,barbarian
Vaalia Jassan,Human,Archfey Warlock
Nyiah,Human,Warlock
Calanthe,Human,Alchemist
Ezen Awoshan,Human,Wizard
Alicia Maria de Luna,human,Wizard
Jackson Kickass,Human,Monk
Joannes Zonaras,Human,Warlock
Quillion Merchant,Human,Warlock
Tristram Arverus,Human,Wizard
Arthos,Human,Warrior
Viktor Katz,Human,Cleric
Rayleigh Ormound,Human,Warlock/Fighter
Bobert Dobbs,Human,Wizard
"""Shay"" Beshaba Milliner",Human,Ranger
Shula Shaga,Human,Eldritch Knight
Augustanna Fortune,Human,Rogue
Markus Drakarhis IV,Human,Fighter/Cleric
Tess Evenwood,Human,Healer
Adelina Thann,Human,Sorceress
Andom Perronick,Human,Cleric
Sigrid Thorbendotter,Human,Barbarian
Tanna Bramsdottir,Human,Barbarian
Evgeni,human,sorcerer
Alexander Springbreeze,human,druid
Hideyama Kurimasa,Human,Samurai
Cerise Firevale,Human,Fighter
Randal Wolfswit,human,fighter
Penandin (Andi) Arewas,Human,Wizard
Gunnolf,Human,Fighter
Severus Trevelyan,Human,Warlock
The Exile,Human ,Paladin 
Shivers,Human (variant),Monk - Drunken Master
Jango Dongsworth,Human Male,Tailor
Rhalia Beestinger,Human Variant,Rogue
Tulip the Mad,Hungerseed Tiefling,Cleric
Ayomide,Ifrit,Skald
Dave,Ifrit,Ranger
Gideon,Kalashtar,Cleric
Galadir,Kalashtar,Paladin
Kosef Stefanov,Karsite,Knight
Srimp the fearless,Kender,Rogue/mage
Krshtin,Kenku,Sorceror
Duelo,Kenku,Rogue
Clinkers,Kenku,Rogue
Osrikh,Kenku,Rogue
Heartbreak,Kenku,Bard
Scree Caw,Kenku,Ranger
Mimi Spitter,Kenku,Bard
Chiva ,Kenku ,Bard
Ess,Kitsune,Sourcerer
Mara,Kitsune,Sorceror (Abyssal Bloodline)
Hokken,Kobold,Rogue
Aurumvorax,Kobold,Dread Necromancer
Marin Kelka,Kobold,Bard
Shooma,Kobold,Thief
Verdad,Kobold,Cleric
Minika,Kobold,Rogue
Kebosh,Kobold,Monk
Flavius Ignatious Pike,Kobold,Sorcerer
Jim the Infinite,Lich,Necromancer
Jahza Nebj,lizardfolk,ranger
Sunvaar,Lizardfolk,Fighter
Strass Thiss,Lizardfolk,Ranger
Chef Rue,Lizardfolk,Monk
Kespek,Lizardfolk ,Ranger
Tarunath,Luminian (homebrew),Avatar (homebrew)
Leira,Merfolk,Cleric (tempest)
Pasiphae,Minotaur,Monk
Shava,Moon elf (high elf),Cleric
Karjan Deadeye,Mountain Dwarf,Rogue/Fighter
Fjell Steinjord StoneShaper,Mountain Dwarf,Barbarian of the Totem (Some Homebrew Elements)
Ora,Mountain Dwarf,Barbarian
Sigbar Holyhands,Nagaji,Paladin
Ergo,Ogre,Fighter
Khaotesg,Orc,Cleric
Grok the Elf Killer,Orc,Bandit
Shegardis Darkcrusher,Orc,Paladin
Finn Stalin,Pale Oni,Samurai 
Shu Shu Coot,Penguin,Rogue
Willie the One Eyed Wonder Worm,Penis,Pussyfucker
Kirit,Phanaton (gliding lemur person),Barbarian
Black Ice,Phrygisian,Bounty Hunter
Yobab,Pig,Enchanted animal.
Delphinium,Pixie,Paladin
Isawa Saiichi,Pixie,Sorcerer
Dragonfly ,Pixie,Rogue
Yuna,Pony,Pony
Ryybyn,Rimelander,Bard
Rinno ,Rock Gnome,Artific
Gimble Gyre,Rock Gnome,Fighter
Ozvolt Turncog,Rock Gnome,Barbarian
Ponz McWetts,Sentient Bucket (Animated),Wizard
Crash Antebois,Shadar-kai,Commander
Paul,Shadowborn,Shadowcaster
"Aleiyana, The Lamentress",Siren,Bard
Lucida,Skeleton,Rogue
Nirik Stormcrow,Snow elf,Rogue
Supali Dipod,Snowborn Human,Wizard
Aren Jaeger,Stout Halfling,Fighter
Nina bint Shihab al-Sakhrayadun,Stout halfling,Monk
Legate,Tabaxi,Rogue
Archer,Tabaxi,Rogue
Plume,Tabaxi,Monk
Ramal,Tabaxi ,Sorcerer
Storie,Tabaxi (Catfolk) ,Pact of the Chain Warlock
Quantiam Machina,Teifling,Warlock
Aqir Bolak,Tengu,Rogue
Irata,tengu,dragonfire adept
Auberdine,Tengu,Cleric
Centipede,Tiefling,Sorcerer
Keejee Kani,Tiefling,Warlock
Zahar Vendis,Tiefling,Cleric
Precul Ipsem,Tiefling,Wizard
Soren,Tiefling,Warlock
Damakos Torment,Tiefling,Warlock
Badb Catha Bálor Balcbéimnech,Tiefling,dex fighter-warlock
Iantu Ianblad,Tiefling,Warlock
Abigail,Tiefling,Paladin
Tyzin Lorestav,Tiefling,Paladin
Arlech Admundsen,Tiefling,Bard
Mercy,Tiefling,Paladin
Vira,Tiefling,Bard
Perseverance ,Tiefling,Sorcerer
Moloch Dundragon,Tiefling,Sorcerer
Nemia,Tiefling,Warlock
Epiphany Hymnsinger,Tiefling,Bard
Shak'kar Copperpetal,Tiefling,warlock
"Virgil ""Virge"" Viscount",Tiefling,Bard
Rare the Harmtouch,Tiefling,Cleric
Maiev Shadewalker,Tiefling,Sorcerer
Doldrolskin,Tiefling,Fighter
Alexei Maelstrovich,Tiefling,Warlock
Aetron Valcius,Tiefling,Warlock
Ideal,Tiefling,Sorceror
Rihala,Tiefling,Warlock
Isobel Scarnetti,Tiefling,Investigator
Pyralis,Tiefling,Warlock
Bronwen Silvertounge,Tiefling,Cleric
Reverence the TyrHammer,Tiefling,Paladin
Zilia Sas Drace,Tiefling,Blood Hunter (homebrew)
Shalith Caribra,Tiefling,Rogue
Clavis Roaringrim,Tiefling,Wizard
Ezell,Tiefling,Warlock
Dax,Tiefling,Sorcerer
Redemption,Tiefling,Sorcerer
Malfior,Tiefling,Cleric
Scalus Calumny,Tiefling,Warlock
Anthy,Tiefling,Druid
Ekira,Tiefling,Warlock
Mischief Goldheart,Tiefling,Sorcerer 
Khari,Tiefling,Rogue
Noya,Tiefling,Sorcerer
Sebastian Clearsky,Tiefling,Sorcerer
Lemire,Tiefling,Rogue
Leucis,Tiefling,Ranger
Talvin of Prendergast,Tiefling ,Paladin/Harper/Inquisitor/Tiefling Paragon
Koschei,Tiefling ,Paladin/wizard
Armin Morningstar,Tiefling ,Sorcerer 
Mbuzi,Tokoloshe,Witch
Skel,Tortle,Cleric
Zohlos Ahnolath,Triton,Fighter
Sera and Erin du/Wyvern,Two-Headed Elf,Warder
Felleran Nefzen,Undead,Lich
Bernard the Bear,Ursine,Barbarian
D3-KRD,Warforged,Wizard
Vanguard,Warforged,Fighter
Dudikoff 7,Warforged,Ninja
Warhorn,Warforged,Bard
Loupe,Warforged,Monk
Flyx,Warforged,Artificer 
Five,Warforged,Artificer
Victor Burnheart,Warforged,"Rogue, Mystic"
Delnita Frenbell,Warforged,Sorceror
Tower,Warforged (robot),Monk
Tharsus Bluemane,Water Genasi,Cleric
Flow Calaluze,Water Genasi,Wizard
Zula Reed,Water Genasi,Battle Master Fighter
John Hay,Werewolf,Glass Walker Theurge
Mordenkai ,Wild Elf,Sorcerer
Skye Wolfe,Wild Elf,Ranger
Eru,Wood Elf,Ranger
Kopeiren Ëinfugen ,Wood elf,Bard
Kopeiren Ëinfugen ,Wood elf,Bard
Resinosa Silva,Wood Elf,Rogue
Belligrava 'Grav' Leguma,Wood Elf,Ranger
Reyna Meliosa,Wood Elf,Cleric
Ful'beracht Melouchevine,Wood Elf,Ranger
Adriarin Melouchevine,Wood Elf,Ranger
Larry Phillpots,Wood elf,Rouge
Carroway,Wood elf,Monk
Aeshlynn Tyr,Wood Elf,Rogue
Chimara Nailo,Wood elf,Druid
Kvothe,Wood elf,Druid
Aria,Wood Elf,Druid
Sliggs,Worm that walks (former human),"Wizard, rogue, urpriest, cancer mage, vermin lord"
Kitra ,Yuan Ti,Ranger 
Vaskir Tempus,Yuan-Ti Abomination,Paladin of Treachery/ GOO Bladelock
Gabbro Eelstooth,dwarf,Pirate rogue
Lordani,Tiefling,Paladin
Hashanna,Half Silver Dragon,Paladin
Eio Tidmarsh,Human,Oracle
Cassandra,Human,Bard
Ugg,Half orc,Monk
Trakul Rubymace,Dwarf,Bard
Ramakidin,Human,Wizard
Jakara Fyrmbld,Half-Elf,warlord
Athos Farondor,Wood Elf,Druid
Kevin,Kenku,Rogue
Fionna S. Hrek,human,gunslinger
Dungeona Dragonette,Tiefling,bard
Maybeline,human,bard
Roderick,Human,Fighter
Bale Blackmoore,Human,Wizard
DJ- CallEd,mechanical construct,Mechanical Construct
Allan Woods,Gnome,Wizard
Lio,Human,Gunslinger
Sarax,Dragonborn,Bard
Henry Smitherino,Human,Bard
Lilith Greywald,Human,Necromancer (wizard)
Grom,Deep Gnome,Wizard
Rube Goldberg,Gnome,Rogue
Syllin,elf,paladin
Dima,Human,Ranger
Xat,Tabaxi,Rogue
Broadly,Kobold,Wizard
Arabella Candor,Halfling (lightfoot),"""Tarocchi"" (homebrew class; plays based on standard 52-card deck)"
Kaz,Half-Orc,Cleric
Riven Coin,Gnome,Rogue
Dani,Warforged,Wizard
Feldspar Brannfjell,Dwarf,Barbarian
Ambeeo,Kobold,Swamp Druid
No.153,Warforged,Bard
Konk,Dwarf,Fighter
Mirabella Trill,Halfling,Ninja
Finnan Thornwatch,Tiefling,Druid
Grimbobo,Goblin,Bard
Mav'ren Tomas,Human,Wizard
Qiren,Elf,Rogue
Butch Cassidy,Halfling,Rouge
Arren Ansel,Human (Variant),Fighter
Avicia Bexley,Lizardfolk,Wizard
Magnus Earthil,Earth Genasi (Elf parents),Sorcerer/Rogue
Verthag Anglemaker,Half Orc,Barbarian
Jania Rhede,Half-Elf,Paladin
Pooka,Halfling,Thief
Kassar the BOw,Human,Rogue
Nixi,tiefling,wizard
Trenos Kulven,Half-dragon,Fighter
Nek'Tass Ketachi,Dragonborn,Druid (Circle of the Land; Desert)
Carol,Halfling,Warlock
Jeremy Beech,Human,Warlock (Fiend)
Salarian Fleetfoot,Wood Elf,Barbarian
O'Akeecha,Aarakocra,Wizard
Selwin,Aasimar,Monk
Tempest,Genasi,Sorcerer
Bigman,Firbolg,Cleric
Berenthos Frostmantle,Gnome,Ranger
Crag Stonethrow,Goliath,Paladin
Elegy Smith,Half-elf,Bard
Ammon Greenfield,Halfling,Monk
Balto Cole,Half-orc,Fighter
Justin Bell,Human,Rogue
Tennyson Shott,Human,Sorcerer
Arrow Flight,Kenku,Warlock
Cupcake Adams ,Fey Corgi ,Occultist
Zubokar,Lizardman,Rogue
Mica Dross,Dwarf,Wizard
Mist-on-the-water,Tabaxi,Bard
Arashi Stormborn,Tiefling,Cleric
Edmaris,Triton,Fighter
Amanal,Human,Barbarian
Khalkeus,Human,Artificer
Gordito,Human,Akhasic Mage
Clover,Half-orc,Paladin
Bluebell Weaver,Halfling,Warlock
Rhogar Myastan,Dragonborn,Sorcerer
Verguldi Draak,Human,Hound
Jahandar Deniz,Human,Cleric
Halldhur,Human,Barbarian
Dagg Tygorr,Goliath,Rogue
Randal Buckley,Human,Sorcerer
Lillian Black,Human,Paladin
Rono,Human,Fighter 
